phase,iter,cpu_id,wall_us,gpu_us
A1_warm_cpu_a,0,2,95.570,33.248
A1_warm_cpu_a,1,2,63.491,29.632
A1_warm_cpu_a,2,2,52.126,22.176
A1_warm_cpu_a,3,2,42.747,22.944
A1_warm_cpu_a,4,2,38.594,18.208
A1_warm_cpu_a,5,2,35.829,17.088
A1_warm_cpu_a,6,2,36.614,16.192
A1_warm_cpu_a,7,2,35.374,16.384
A1_warm_cpu_a,8,2,34.667,17.216
A1_warm_cpu_a,9,2,34.669,16.352
A1_warm_cpu_a,10,2,36.017,17.184
A1_warm_cpu_a,11,2,34.521,15.936
A1_warm_cpu_a,12,2,32.940,17.024
A1_warm_cpu_a,13,2,33.480,16.832
A1_warm_cpu_a,14,2,45.812,28.672
A1_warm_cpu_a,15,2,32.809,16.512
A1_warm_cpu_a,16,2,34.253,18.240
A1_warm_cpu_a,17,2,41.646,24.448
A1_warm_cpu_a,18,2,34.302,17.856
A1_warm_cpu_a,19,2,32.527,16.320
A1_warm_cpu_a,20,2,32.306,15.808
A1_warm_cpu_a,21,2,32.997,16.512
A1_warm_cpu_a,22,2,31.950,16.384
A1_warm_cpu_a,23,2,31.966,15.744
A1_warm_cpu_a,24,2,32.843,16.224
A1_warm_cpu_a,25,2,31.868,15.712
A1_warm_cpu_a,26,2,32.382,16.128
A1_warm_cpu_a,27,2,32.269,15.584
A1_warm_cpu_a,28,2,31.326,15.808
A1_warm_cpu_a,29,2,31.325,15.648
A1_warm_cpu_a,30,2,31.411,15.424
A1_warm_cpu_a,31,2,27.357,13.664
A1_warm_cpu_a,32,2,33.994,17.120
A1_warm_cpu_a,33,2,32.066,16.064
A1_warm_cpu_a,34,2,32.540,15.968
A1_warm_cpu_a,35,2,30.453,15.040
A1_warm_cpu_a,36,2,33.205,17.344
A1_warm_cpu_a,37,2,30.337,14.976
A1_warm_cpu_a,38,2,33.394,17.600
A1_warm_cpu_a,39,2,33.797,16.704
A1_warm_cpu_a,40,2,33.589,16.960
A1_warm_cpu_a,41,2,37.274,20.960
A1_warm_cpu_a,42,2,44.235,15.840
A1_warm_cpu_a,43,2,31.896,16.416
A1_warm_cpu_a,44,2,31.476,15.936
