phase,iter,cpu_id,wall_us,gpu_us
A1_warm_cpu_a,0,2,70.468,20.512
A1_warm_cpu_a,1,2,54.194,22.944
A1_warm_cpu_a,2,2,41.707,17.888
A1_warm_cpu_a,3,2,34.790,17.536
A1_warm_cpu_a,4,2,30.133,14.464
A1_warm_cpu_a,5,2,28.134,13.216
A1_warm_cpu_a,6,2,29.777,12.704
A1_warm_cpu_a,7,2,31.038,14.464
A1_warm_cpu_a,8,2,28.118,12.832
A1_warm_cpu_a,9,2,28.316,13.312
A1_warm_cpu_a,10,2,27.516,13.184
A1_warm_cpu_a,11,2,28.162,13.152
A1_warm_cpu_a,12,2,27.750,12.992
A1_warm_cpu_a,13,2,27.405,12.544
A1_warm_cpu_a,14,2,27.569,13.408
A1_warm_cpu_a,15,2,27.471,13.056
A1_warm_cpu_a,16,2,27.481,13.216
A1_warm_cpu_a,17,2,26.831,12.256
A1_warm_cpu_a,18,2,28.507,13.792
A1_warm_cpu_a,19,2,26.473,12.736
A1_warm_cpu_a,20,2,27.106,12.576
A1_warm_cpu_a,21,2,25.590,12.160
A1_warm_cpu_a,22,2,27.263,12.928
A1_warm_cpu_a,23,2,25.886,12.448
A1_warm_cpu_a,24,2,27.008,12.768
A1_warm_cpu_a,25,2,26.433,12.608
A1_warm_cpu_a,26,2,26.910,12.768
A1_warm_cpu_a,27,2,26.477,12.384
A1_warm_cpu_a,28,2,25.947,12.448
A1_warm_cpu_a,29,2,25.933,12.704
A1_warm_cpu_a,30,2,26.535,12.704
A1_warm_cpu_a,31,2,26.662,13.088
A1_warm_cpu_a,32,2,27.338,13.440
A1_warm_cpu_a,33,2,26.960,12.416
A1_warm_cpu_a,34,2,26.954,13.120
A1_warm_cpu_a,35,2,26.362,12.704
A1_warm_cpu_a,36,2,25.707,12.224
A1_warm_cpu_a,37,2,26.147,12.224
A1_warm_cpu_a,38,2,27.193,13.120
A1_warm_cpu_a,39,2,26.514,12.832
A1_warm_cpu_a,40,2,27.584,13.088
A1_warm_cpu_a,41,2,26.369,12.672
A1_warm_cpu_a,42,2,26.285,12.416
A1_warm_cpu_a,43,2,26.349,12.320
A1_warm_cpu_a,44,2,26.530,12.800
A1_warm_cpu_a,45,2,25.979,11.776
A1_warm_cpu_a,46,2,27.040,12.768
A1_warm_cpu_a,47,2,25.866,12.416
A1_warm_cpu_a,48,2,26.504,12.704
A1_warm_cpu_a,49,2,25.731,11.872
A1_warm_cpu_a,50,2,26.586,12.288
A1_warm_cpu_a,51,2,26.430,12.512
A1_warm_cpu_a,52,2,26.691,13.152
A1_warm_cpu_a,53,2,37.951,21.792
A1_warm_cpu_a,54,2,25.987,12.896
A1_warm_cpu_a,55,2,25.257,12.320
A1_warm_cpu_a,56,2,26.393,12.704
A1_warm_cpu_a,57,2,25.192,12.064
A1_warm_cpu_a,58,2,25.820,12.448
A1_warm_cpu_a,59,2,24.652,11.648
A1_warm_cpu_a,60,2,25.309,12.192
A1_warm_cpu_a,61,2,25.794,12.352
A1_warm_cpu_a,62,2,25.825,12.832
A1_warm_cpu_a,63,2,26.188,12.512
A1_warm_cpu_a,64,2,26.657,12.416
A1_warm_cpu_a,65,2,26.070,11.904
A1_warm_cpu_a,66,2,103.104,14.656
A1_warm_cpu_a,67,2,26.643,12.992
A1_warm_cpu_a,68,2,26.514,12.480
A1_warm_cpu_a,69,2,25.626,11.968
A1_warm_cpu_a,70,2,26.266,12.864
A1_warm_cpu_a,71,2,25.477,12.384
A1_warm_cpu_a,72,2,25.420,11.712
A1_warm_cpu_a,73,2,26.440,12.544
A1_warm_cpu_a,74,2,25.887,12.384
A1_warm_cpu_a,75,2,25.333,12.512
A1_warm_cpu_a,76,2,25.352,12.160
A1_warm_cpu_a,77,2,24.581,11.712
A1_warm_cpu_a,78,2,26.367,12.672
A1_warm_cpu_a,79,2,25.814,12.096
A1_warm_cpu_a,80,2,25.639,12.320
A1_warm_cpu_a,81,2,25.996,11.936
A1_warm_cpu_a,82,2,26.069,12.928
A1_warm_cpu_a,83,2,25.271,12.224
A1_warm_cpu_a,84,2,26.117,12.832
A1_warm_cpu_a,85,2,25.319,12.064
A1_warm_cpu_a,86,2,25.570,12.640
A1_warm_cpu_a,87,2,25.431,11.904
A1_warm_cpu_a,88,2,26.679,12.896
A1_warm_cpu_a,89,2,25.088,11.552
A1_warm_cpu_a,90,2,25.762,12.480
A1_warm_cpu_a,91,2,24.968,11.968
A1_warm_cpu_a,92,2,26.311,13.120
A1_warm_cpu_a,93,2,25.397,12.000
A1_warm_cpu_a,94,2,26.277,12.352
A1_warm_cpu_a,95,2,25.598,10.816
A1_warm_cpu_a,96,2,24.967,12.032
A1_warm_cpu_a,97,2,25.304,12.000
A1_warm_cpu_a,98,2,26.046,12.384
A1_warm_cpu_a,99,2,26.474,12.640
A1_warm_cpu_a,100,2,25.522,12.128
A1_warm_cpu_a,101,2,25.330,11.584
A1_warm_cpu_a,102,2,26.151,12.544
A1_warm_cpu_a,103,2,25.580,12.320
A1_warm_cpu_a,104,2,25.283,11.776
A1_warm_cpu_a,105,2,25.534,11.904
A1_warm_cpu_a,106,2,25.715,12.256
A1_warm_cpu_a,107,2,24.561,11.808
A1_warm_cpu_a,108,2,25.520,12.288
A1_warm_cpu_a,109,2,24.872,11.808
A1_warm_cpu_a,110,2,25.285,12.448
A1_warm_cpu_a,111,2,25.267,11.712
A1_warm_cpu_a,112,2,26.066,12.064
A1_warm_cpu_a,113,2,25.141,11.648
A1_warm_cpu_a,114,2,25.506,12.000
A1_warm_cpu_a,115,2,25.800,12.384
A1_warm_cpu_a,116,2,26.095,12.224
A1_warm_cpu_a,117,2,24.607,11.648
A1_warm_cpu_a,118,2,25.768,12.352
A1_warm_cpu_a,119,2,25.273,12.192
A1_warm_cpu_a,120,2,26.243,12.608
A1_warm_cpu_a,121,2,25.532,11.776
A1_warm_cpu_a,122,2,26.337,12.480
A1_warm_cpu_a,123,2,25.710,12.384
A1_warm_cpu_a,124,2,26.149,12.640
A1_warm_cpu_a,125,2,25.462,11.904
A1_warm_cpu_a,126,2,25.113,12.128
A1_warm_cpu_a,127,2,26.154,11.744
A1_warm_cpu_a,128,2,25.750,12.224
A1_warm_cpu_a,129,2,24.413,11.552
A1_warm_cpu_a,130,2,26.367,12.672
A1_warm_cpu_a,131,2,24.977,11.744
A1_warm_cpu_a,132,2,25.442,12.128
A1_warm_cpu_a,133,2,25.375,11.488
A1_warm_cpu_a,134,2,25.632,12.320
A1_warm_cpu_a,135,2,24.999,12.032
A1_warm_cpu_a,136,2,25.507,12.064
A1_warm_cpu_a,137,2,25.151,12.064
A1_warm_cpu_a,138,2,26.471,12.736
A1_warm_cpu_a,139,2,25.168,12.032
A1_warm_cpu_a,140,2,25.392,12.096
A1_warm_cpu_a,141,2,104.549,89.856
A1_warm_cpu_a,142,2,26.891,12.736
A1_warm_cpu_a,143,2,26.016,12.192
A1_warm_cpu_a,144,2,25.914,12.352
A1_warm_cpu_a,145,2,25.201,11.936
A1_warm_cpu_a,146,2,26.553,12.928
A1_warm_cpu_a,147,2,25.479,12.256
A1_warm_cpu_a,148,2,25.826,12.704
A1_warm_cpu_a,149,2,25.023,11.584
A1_warm_cpu_a,150,2,26.258,12.800
A1_warm_cpu_a,151,2,29.163,15.360
A1_warm_cpu_a,152,2,26.237,12.416
A1_warm_cpu_a,153,2,26.065,12.736
A1_warm_cpu_a,154,2,25.868,12.256
A1_warm_cpu_a,155,2,26.423,12.672
A1_warm_cpu_a,156,2,26.745,12.480
A1_warm_cpu_a,157,2,25.309,11.840
A1_warm_cpu_a,158,2,26.354,12.608
A1_warm_cpu_a,159,2,25.465,12.288
A1_warm_cpu_a,160,2,26.121,12.160
A1_warm_cpu_a,161,2,25.564,12.064
A1_warm_cpu_a,162,2,25.927,12.192
A1_warm_cpu_a,163,2,25.703,12.544
A1_warm_cpu_a,164,2,25.527,12.128
A1_warm_cpu_a,165,2,24.894,11.744
A1_warm_cpu_a,166,2,25.103,12.352
A1_warm_cpu_a,167,2,24.754,11.776
A1_warm_cpu_a,168,2,26.052,13.024
A1_warm_cpu_a,169,2,25.832,12.320
A1_warm_cpu_a,170,2,25.531,12.256
A1_warm_cpu_a,171,2,25.745,12.160
A1_warm_cpu_a,172,2,25.780,12.544
A1_warm_cpu_a,173,2,25.703,12.032
A1_warm_cpu_a,174,2,26.109,12.320
A1_warm_cpu_a,175,2,25.885,11.776
A1_warm_cpu_a,176,2,26.712,13.056
A1_warm_cpu_a,177,2,26.068,12.096
A1_warm_cpu_a,178,2,26.990,13.120
A1_warm_cpu_a,179,2,25.743,12.384
A1_warm_cpu_a,180,2,25.480,12.128
A1_warm_cpu_a,181,2,25.208,11.552
A1_warm_cpu_a,182,2,25.340,12.544
A1_warm_cpu_a,183,2,26.000,12.544
A1_warm_cpu_a,184,2,25.776,12.192
A1_warm_cpu_a,185,2,25.982,12.352
A1_warm_cpu_a,186,2,26.816,13.504
A1_warm_cpu_a,187,2,24.991,11.808
A1_warm_cpu_a,188,2,24.975,11.808
A1_warm_cpu_a,189,2,25.145,11.808
A1_warm_cpu_a,190,2,25.016,11.840
A1_warm_cpu_a,191,2,25.202,11.840
A1_warm_cpu_a,192,2,24.206,11.648
A1_warm_cpu_a,193,2,24.530,11.392
A1_warm_cpu_a,194,2,24.630,11.936
A1_warm_cpu_a,195,2,25.301,11.904
A1_warm_cpu_a,196,2,24.568,11.424
A1_warm_cpu_a,197,2,24.018,11.040
A1_warm_cpu_a,198,2,25.401,12.192
A1_warm_cpu_a,199,2,24.786,11.584
A1_warm_cpu_a,200,2,24.249,11.584
A1_warm_cpu_a,201,2,24.894,11.616
A1_warm_cpu_a,202,2,25.063,11.680
A1_warm_cpu_a,203,2,25.099,11.776
A1_warm_cpu_a,204,2,25.850,11.904
A1_warm_cpu_a,205,2,24.663,12.032
A1_warm_cpu_a,206,2,24.327,11.488
