phase,iter,cpu_id,wall_us,gpu_us
A1_warm_cpu_a,0,2,75.660,23.296
A1_warm_cpu_a,1,2,58.835,25.888
A1_warm_cpu_a,2,2,43.056,18.176
A1_warm_cpu_a,3,2,35.283,18.272
A1_warm_cpu_a,4,2,30.975,14.272
A1_warm_cpu_a,5,2,28.722,13.664
A1_warm_cpu_a,6,2,31.344,14.144
A1_warm_cpu_a,7,2,30.348,13.856
A1_warm_cpu_a,8,2,28.673,12.992
A1_warm_cpu_a,9,2,27.920,12.928
A1_warm_cpu_a,10,2,28.160,13.344
A1_warm_cpu_a,11,2,28.808,13.056
A1_warm_cpu_a,12,2,27.824,12.992
A1_warm_cpu_a,13,2,27.745,12.832
A1_warm_cpu_a,14,2,28.130,13.184
A1_warm_cpu_a,15,2,27.510,12.704
A1_warm_cpu_a,16,2,28.175,13.440
A1_warm_cpu_a,17,2,27.175,12.736
A1_warm_cpu_a,18,2,27.982,13.120
A1_warm_cpu_a,19,2,27.131,12.736
A1_warm_cpu_a,20,2,27.175,12.544
A1_warm_cpu_a,21,2,28.856,12.832
A1_warm_cpu_a,22,2,28.103,13.408
A1_warm_cpu_a,23,2,27.472,13.312
A1_warm_cpu_a,24,2,27.396,13.024
A1_warm_cpu_a,25,2,27.475,12.896
A1_warm_cpu_a,26,2,27.474,13.120
A1_warm_cpu_a,27,2,27.648,13.312
A1_warm_cpu_a,28,2,27.027,12.704
A1_warm_cpu_a,29,2,26.596,12.416
A1_warm_cpu_a,30,2,27.361,12.928
A1_warm_cpu_a,31,2,27.459,12.736
A1_warm_cpu_a,32,2,26.749,12.512
A1_warm_cpu_a,33,2,27.476,12.608
A1_warm_cpu_a,34,2,27.257,12.800
A1_warm_cpu_a,35,2,26.573,12.224
A1_warm_cpu_a,36,2,27.994,13.088
A1_warm_cpu_a,37,2,26.475,12.192
A1_warm_cpu_a,38,2,26.939,12.896
A1_warm_cpu_a,39,2,27.146,12.832
A1_warm_cpu_a,40,2,26.911,12.928
A1_warm_cpu_a,41,2,27.483,12.352
A1_warm_cpu_a,42,2,27.532,13.152
A1_warm_cpu_a,43,2,27.724,12.864
A1_warm_cpu_a,44,2,27.483,12.736
A1_warm_cpu_a,45,2,27.198,12.736
A1_warm_cpu_a,46,2,27.712,12.768
A1_warm_cpu_a,47,2,27.784,13.216
A1_warm_cpu_a,48,2,26.681,12.640
A1_warm_cpu_a,49,2,26.745,12.448
A1_warm_cpu_a,50,2,27.540,12.576
A1_warm_cpu_a,51,2,26.453,12.448
A1_warm_cpu_a,52,2,26.322,12.192
A1_warm_cpu_a,53,2,47.922,31.648
A1_warm_cpu_a,54,2,27.118,13.312
A1_warm_cpu_a,55,2,27.248,12.864
A1_warm_cpu_a,56,2,26.854,13.088
A1_warm_cpu_a,57,2,27.420,12.736
A1_warm_cpu_a,58,2,27.340,12.640
A1_warm_cpu_a,59,2,27.719,13.120
A1_warm_cpu_a,60,2,26.189,12.320
A1_warm_cpu_a,61,2,27.351,12.320
A1_warm_cpu_a,62,2,27.144,12.544
A1_warm_cpu_a,63,2,26.956,12.992
A1_warm_cpu_a,64,2,27.459,12.896
A1_warm_cpu_a,65,2,27.581,12.896
A1_warm_cpu_a,66,2,107.289,13.952
A1_warm_cpu_a,67,2,28.058,13.344
A1_warm_cpu_a,68,2,27.474,12.736
A1_warm_cpu_a,69,2,26.890,12.352
A1_warm_cpu_a,70,2,26.920,12.544
A1_warm_cpu_a,71,2,27.409,12.832
A1_warm_cpu_a,72,2,26.830,12.704
A1_warm_cpu_a,73,2,27.038,12.736
A1_warm_cpu_a,74,2,28.112,13.024
A1_warm_cpu_a,75,2,26.756,12.800
A1_warm_cpu_a,76,2,27.198,12.480
A1_warm_cpu_a,77,2,26.834,12.576
A1_warm_cpu_a,78,2,27.765,13.504
A1_warm_cpu_a,79,2,26.963,12.544
A1_warm_cpu_a,80,2,27.509,13.024
A1_warm_cpu_a,81,2,26.720,12.416
A1_warm_cpu_a,82,2,27.092,13.312
A1_warm_cpu_a,83,2,27.328,13.376
A1_warm_cpu_a,84,2,27.366,12.992
A1_warm_cpu_a,85,2,27.223,12.704
A1_warm_cpu_a,86,2,26.888,12.672
A1_warm_cpu_a,87,2,27.241,12.992
A1_warm_cpu_a,88,2,26.930,12.544
A1_warm_cpu_a,89,2,26.832,12.352
A1_warm_cpu_a,90,2,27.277,12.928
A1_warm_cpu_a,91,2,27.099,12.864
A1_warm_cpu_a,92,2,27.515,12.768
A1_warm_cpu_a,93,2,26.961,12.384
A1_warm_cpu_a,94,2,26.717,12.576
A1_warm_cpu_a,95,2,27.679,13.344
A1_warm_cpu_a,96,2,26.486,12.672
A1_warm_cpu_a,97,2,27.544,12.768
A1_warm_cpu_a,98,2,27.465,12.736
A1_warm_cpu_a,99,2,26.765,12.544
A1_warm_cpu_a,100,2,26.944,12.704
A1_warm_cpu_a,101,2,26.561,12.416
A1_warm_cpu_a,102,2,26.875,12.864
A1_warm_cpu_a,103,2,27.353,12.864
A1_warm_cpu_a,104,2,26.593,12.352
A1_warm_cpu_a,105,2,26.971,12.480
A1_warm_cpu_a,106,2,27.609,13.408
A1_warm_cpu_a,107,2,27.151,12.960
A1_warm_cpu_a,108,2,26.157,12.000
A1_warm_cpu_a,109,2,26.625,12.192
A1_warm_cpu_a,110,2,27.042,12.640
A1_warm_cpu_a,111,2,27.189,13.120
A1_warm_cpu_a,112,2,26.969,13.152
A1_warm_cpu_a,113,2,26.787,12.288
A1_warm_cpu_a,114,2,26.798,12.704
A1_warm_cpu_a,115,2,27.733,13.120
A1_warm_cpu_a,116,2,26.839,12.544
A1_warm_cpu_a,117,2,26.784,12.320
A1_warm_cpu_a,118,2,27.054,13.152
A1_warm_cpu_a,119,2,26.582,12.640
A1_warm_cpu_a,120,2,26.301,12.384
A1_warm_cpu_a,121,2,26.823,12.832
A1_warm_cpu_a,122,2,26.678,12.704
A1_warm_cpu_a,123,2,26.516,12.544
A1_warm_cpu_a,124,2,26.164,12.224
A1_warm_cpu_a,125,2,27.028,12.672
A1_warm_cpu_a,126,2,27.303,12.928
A1_warm_cpu_a,127,2,27.213,12.544
A1_warm_cpu_a,128,2,26.993,12.608
A1_warm_cpu_a,129,2,26.608,12.288
A1_warm_cpu_a,130,2,27.207,12.736
A1_warm_cpu_a,131,2,27.154,12.768
A1_warm_cpu_a,132,2,26.014,12.192
A1_warm_cpu_a,133,2,26.479,12.032
A1_warm_cpu_a,134,2,26.387,12.576
A1_warm_cpu_a,135,2,26.972,12.544
A1_warm_cpu_a,136,2,26.466,12.192
A1_warm_cpu_a,137,2,26.739,12.096
A1_warm_cpu_a,138,2,27.334,12.672
A1_warm_cpu_a,139,2,27.091,12.896
A1_warm_cpu_a,140,2,26.627,12.448
A1_warm_cpu_a,141,2,110.879,96.256
A1_warm_cpu_a,142,2,28.451,13.664
A1_warm_cpu_a,143,2,28.037,13.280
A1_warm_cpu_a,144,2,27.264,12.608
A1_warm_cpu_a,145,2,27.212,12.640
A1_warm_cpu_a,146,2,27.548,13.280
A1_warm_cpu_a,147,2,27.174,13.024
A1_warm_cpu_a,148,2,27.860,13.056
A1_warm_cpu_a,149,2,27.493,12.864
A1_warm_cpu_a,150,2,27.611,13.376
A1_warm_cpu_a,151,2,30.558,16.000
A1_warm_cpu_a,152,2,27.466,12.896
A1_warm_cpu_a,153,2,26.965,12.608
A1_warm_cpu_a,154,2,26.675,12.672
A1_warm_cpu_a,155,2,26.972,12.672
A1_warm_cpu_a,156,2,27.314,12.992
A1_warm_cpu_a,157,2,26.853,12.384
A1_warm_cpu_a,158,2,27.148,12.832
A1_warm_cpu_a,159,2,26.758,12.544
