phase,iter,cpu_id,wall_us,gpu_us
A1_warm_cpu_a,0,2,89.881,28.224
A1_warm_cpu_a,1,2,51.507,24.096
A1_warm_cpu_a,2,2,37.749,15.712
A1_warm_cpu_a,3,2,32.416,16.864
A1_warm_cpu_a,4,2,122.557,56.288
A1_warm_cpu_a,5,2,39.018,19.168
A1_warm_cpu_a,6,2,43.056,20.992
A1_warm_cpu_a,7,2,90.470,42.272
A1_warm_cpu_a,8,2,37.448,19.648
A1_warm_cpu_a,9,2,31.539,14.336
A1_warm_cpu_a,10,2,29.595,13.536
A1_warm_cpu_a,11,2,27.573,12.320
A1_warm_cpu_a,12,2,87.671,41.472
A1_warm_cpu_a,13,2,46.552,23.008
A1_warm_cpu_a,14,2,28.321,13.376
A1_warm_cpu_a,15,2,25.557,12.128
A1_warm_cpu_a,16,2,27.759,13.184
A1_warm_cpu_a,17,2,25.664,11.744
A1_warm_cpu_a,18,2,25.279,11.776
A1_warm_cpu_a,19,2,24.701,11.712
A1_warm_cpu_a,20,2,40.793,15.808
A1_warm_cpu_a,21,2,33.072,11.584
A1_warm_cpu_a,22,2,28.053,13.696
A1_warm_cpu_a,23,2,25.860,11.488
A1_warm_cpu_a,24,2,24.378,11.392
A1_warm_cpu_a,25,2,24.539,11.424
A1_warm_cpu_a,26,2,25.239,11.744
A1_warm_cpu_a,27,2,24.237,11.424
A1_warm_cpu_a,28,2,23.843,11.200
A1_warm_cpu_a,29,2,23.840,11.232
A1_warm_cpu_a,30,2,23.948,11.456
A1_warm_cpu_a,31,2,30.420,11.040
A1_warm_cpu_a,32,2,28.542,13.920
A1_warm_cpu_a,33,2,23.870,11.200
A1_warm_cpu_a,34,2,24.124,11.232
A1_warm_cpu_a,35,2,23.447,10.976
A1_warm_cpu_a,36,2,23.639,11.104
A1_warm_cpu_a,37,2,23.640,11.296
A1_warm_cpu_a,38,2,23.795,11.456
A1_warm_cpu_a,39,2,23.481,10.976
A1_warm_cpu_a,40,2,87.785,41.312
A1_warm_cpu_a,41,2,35.406,17.440
A1_warm_cpu_a,42,2,28.297,13.632
A1_warm_cpu_a,43,2,25.409,12.384
A1_warm_cpu_a,44,2,24.820,11.968
A1_warm_cpu_a,45,2,24.438,11.360
A1_warm_cpu_a,46,2,24.703,11.744
A1_warm_cpu_a,47,2,33.852,19.712
A1_warm_cpu_a,48,2,28.645,14.912
A1_warm_cpu_a,49,2,35.657,19.808
A1_warm_cpu_a,50,2,27.702,13.920
A1_warm_cpu_a,51,2,25.233,11.872
A1_warm_cpu_a,52,2,24.427,11.808
A1_warm_cpu_a,53,2,24.284,11.680
A1_warm_cpu_a,54,2,94.758,50.976
A1_warm_cpu_a,55,2,30.961,15.328
A1_warm_cpu_a,56,2,27.682,13.280
A1_warm_cpu_a,57,2,24.509,11.808
A1_warm_cpu_a,58,2,24.859,11.936
A1_warm_cpu_a,59,2,24.154,11.488
A1_warm_cpu_a,60,2,24.470,11.392
A1_warm_cpu_a,61,2,23.955,11.200
A1_warm_cpu_a,62,2,31.029,14.592
A1_warm_cpu_a,63,2,26.055,12.608
A1_warm_cpu_a,64,2,24.934,11.968
A1_warm_cpu_a,65,2,24.642,11.552
A1_warm_cpu_a,66,2,148.451,14.112
A1_warm_cpu_a,67,2,25.988,12.192
A1_warm_cpu_a,68,2,24.649,11.712
A1_warm_cpu_a,69,2,85.292,39.776
A1_warm_cpu_a,70,2,34.018,17.344
A1_warm_cpu_a,71,2,26.723,13.184
A1_warm_cpu_a,72,2,27.845,13.216
A1_warm_cpu_a,73,2,25.151,11.968
A1_warm_cpu_a,74,2,25.409,12.128
A1_warm_cpu_a,75,2,29.836,14.400
A1_warm_cpu_a,76,2,25.643,12.192
A1_warm_cpu_a,77,2,24.733,11.904
A1_warm_cpu_a,78,2,24.568,11.648
A1_warm_cpu_a,79,2,24.512,11.712
A1_warm_cpu_a,80,2,23.949,11.424
A1_warm_cpu_a,81,2,25.346,12.064
A1_warm_cpu_a,82,2,41.215,27.904
A1_warm_cpu_a,83,2,27.686,14.464
A1_warm_cpu_a,84,2,25.872,12.704
A1_warm_cpu_a,85,2,24.619,11.840
A1_warm_cpu_a,86,2,24.233,11.616
A1_warm_cpu_a,87,2,24.749,11.776
A1_warm_cpu_a,88,2,26.692,12.256
A1_warm_cpu_a,89,2,25.358,11.488
A1_warm_cpu_a,90,2,24.789,11.648
A1_warm_cpu_a,91,2,25.001,11.488
A1_warm_cpu_a,92,2,92.063,41.472
A1_warm_cpu_a,93,2,36.979,18.432
A1_warm_cpu_a,94,2,29.106,13.344
A1_warm_cpu_a,95,2,26.706,12.416
A1_warm_cpu_a,96,2,25.994,12.256
A1_warm_cpu_a,97,2,25.331,11.936
A1_warm_cpu_a,98,2,25.628,12.064
A1_warm_cpu_a,99,2,24.764,11.616
A1_warm_cpu_a,100,2,24.236,11.488
A1_warm_cpu_a,101,2,23.890,11.264
A1_warm_cpu_a,102,2,24.633,11.616
A1_warm_cpu_a,103,2,24.710,11.648
A1_warm_cpu_a,104,2,24.139,11.488
A1_warm_cpu_a,105,2,24.122,11.424
A1_warm_cpu_a,106,2,24.122,11.424
A1_warm_cpu_a,107,2,23.798,11.232
A1_warm_cpu_a,108,2,33.452,11.488
A1_warm_cpu_a,109,2,36.235,20.992
A1_warm_cpu_a,110,2,27.522,13.760
A1_warm_cpu_a,111,2,24.256,11.392
A1_warm_cpu_a,112,2,24.426,11.616
A1_warm_cpu_a,113,2,24.018,11.200
A1_warm_cpu_a,114,2,24.457,11.552
A1_warm_cpu_a,115,2,24.203,11.552
A1_warm_cpu_a,116,2,24.047,11.264
A1_warm_cpu_a,117,2,23.748,11.264
A1_warm_cpu_a,118,2,24.196,11.360
A1_warm_cpu_a,119,2,23.365,10.976
A1_warm_cpu_a,120,2,23.779,11.200
A1_warm_cpu_a,121,2,23.419,11.040
A1_warm_cpu_a,122,2,23.691,11.264
A1_warm_cpu_a,123,2,23.586,11.008
A1_warm_cpu_a,124,2,24.049,11.520
A1_warm_cpu_a,125,2,23.484,11.168
A1_warm_cpu_a,126,2,24.506,11.168
A1_warm_cpu_a,127,2,24.894,11.552
A1_warm_cpu_a,128,2,23.501,11.104
A1_warm_cpu_a,129,2,23.829,11.168
A1_warm_cpu_a,130,2,30.741,14.048
A1_warm_cpu_a,131,2,24.535,11.296
A1_warm_cpu_a,132,2,24.368,11.520
A1_warm_cpu_a,133,2,23.772,11.104
A1_warm_cpu_a,134,2,23.761,11.232
A1_warm_cpu_a,135,2,23.779,11.264
A1_warm_cpu_a,136,2,23.554,11.104
A1_warm_cpu_a,137,2,23.793,11.232
A1_warm_cpu_a,138,2,23.398,10.944
A1_warm_cpu_a,139,2,23.564,11.072
A1_warm_cpu_a,140,2,23.913,11.232
A1_warm_cpu_a,141,2,126.364,112.544
A1_warm_cpu_a,142,2,26.962,12.832
A1_warm_cpu_a,143,2,25.430,12.064
A1_warm_cpu_a,144,2,24.555,11.616
A1_warm_cpu_a,145,2,24.630,11.584
A1_warm_cpu_a,146,2,24.686,11.360
A1_warm_cpu_a,147,2,24.757,11.520
A1_warm_cpu_a,148,2,34.134,19.808
A1_warm_cpu_a,149,2,27.589,13.952
A1_warm_cpu_a,150,2,24.950,11.840
A1_warm_cpu_a,151,2,29.594,15.712
A1_warm_cpu_a,152,2,25.464,11.968
A1_warm_cpu_a,153,2,24.299,11.392
A1_warm_cpu_a,154,2,23.982,11.328
A1_warm_cpu_a,155,2,23.842,11.200
A1_warm_cpu_a,156,2,30.212,13.920
A1_warm_cpu_a,157,2,88.982,42.176
A1_warm_cpu_a,158,2,35.708,18.368
A1_warm_cpu_a,159,2,27.152,13.472
A1_warm_cpu_a,160,2,25.601,12.416
A1_warm_cpu_a,161,2,25.031,12.224
A1_warm_cpu_a,162,2,24.681,11.744
A1_warm_cpu_a,163,2,36.573,16.448
A1_warm_cpu_a,164,2,25.015,11.968
A1_warm_cpu_a,165,2,26.314,11.840
A1_warm_cpu_a,166,2,25.304,12.416
A1_warm_cpu_a,167,2,25.405,11.648
A1_warm_cpu_a,168,2,25.313,12.128
A1_warm_cpu_a,169,2,24.279,11.776
A1_warm_cpu_a,170,2,24.186,11.424
A1_warm_cpu_a,171,2,23.700,11.136
A1_warm_cpu_a,172,2,24.967,12.096
A1_warm_cpu_a,173,2,23.662,11.136
A1_warm_cpu_a,174,2,25.647,11.712
A1_warm_cpu_a,175,2,24.241,11.264
A1_warm_cpu_a,176,2,23.899,11.424
A1_warm_cpu_a,177,2,24.380,11.520
A1_warm_cpu_a,178,2,23.892,11.232
A1_warm_cpu_a,179,2,23.860,11.168
A1_warm_cpu_a,180,2,24.385,11.424
A1_warm_cpu_a,181,2,23.774,11.232
A1_warm_cpu_a,182,2,23.968,11.232
A1_warm_cpu_a,183,2,34.158,17.248
A1_warm_cpu_a,184,2,25.467,11.968
A1_warm_cpu_a,185,2,24.274,11.584
A1_warm_cpu_a,186,2,24.238,11.360
A1_warm_cpu_a,187,2,23.919,11.552
A1_warm_cpu_a,188,2,23.763,11.360
A1_warm_cpu_a,189,2,24.562,11.392
A1_warm_cpu_a,190,2,23.970,11.264
A1_warm_cpu_a,191,2,24.030,11.008
A1_warm_cpu_a,192,2,23.501,11.072
A1_warm_cpu_a,193,2,24.022,11.136
A1_warm_cpu_a,194,2,23.602,11.168
A1_warm_cpu_a,195,2,24.112,11.488
A1_warm_cpu_a,196,2,23.777,11.296
A1_warm_cpu_a,197,2,24.005,11.328
A1_warm_cpu_a,198,2,23.677,11.296
